序號,案件名稱,裁判日期,裁判案由,違約金類型,最終違約金類型,Target
331,臺灣屏東地方法院 113 年度 司促 字第 13637 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未還款的違約金計算方式，是根據本金的百分比計算，且逾期時間越長，利率越高 (6個月內10%，超過6個月20%)。這明顯超過了單純賠償實際損失的範圍，屬於對違約行為的懲罰性措施，而非僅僅是為了彌補債權人的損失。  雖然有提到利息，但高額的違約金部分與實際損失的連結性較弱，更傾向於懲罰性質。  此外，契約中也提及「每次違約狀態最高連續收取期數為9期」，此設定更強化了其懲罰性的屬性。 因此，即使有部分金額是利息和程序費用，整體而言，該契約中的違約金條款更符合懲罰性違約金的定義。
","根據提供的內容，屬於**懲罰性編號1**。

理由：契約中約定逾期未還款的違約金計算方式，是根據本金的百分比計算，且逾期時間越長，利率越高 (6個月內10%，超過6個月20%)。這明顯超過了單純賠償實際損失的範圍，屬於對違約行為的懲罰性措施，而非僅僅是為了彌補債權人的損失。  雖然有提到利息，但高額的違約金部分與實際損失的連結性較弱，更傾向於懲罰性質。  此外，契約中也提及「每次違約狀態最高連續收取期數為9期」，此設定更強化了其懲罰性的屬性。 因此，即使有部分金額是利息和程序費用，整體而言，該契約中的違約金條款更符合懲罰性違約金的定義。
",1
332,臺灣臺中地方法院 114 年度 司促 字第 1127 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

雖然提到「違約金」，但其計算方式與實際逾期時間和本金相關，並根據逾期時間長短調整利率（6個月內一成，超過6個月超過部分二成，最高九期），這更像是對逾期未還款所產生的實際損失（利息）的計算，而非額外的懲罰。  沒有提到固定金額的罰款，也沒有明顯超過損失比例的額外費用。  支付命令主要針對本金、利息及督促程序費用，違約金的計算方式與實際損失掛鉤，符合損害賠償的特性。
","根據提供的內容，屬於**損害賠償性編號2**。

雖然提到「違約金」，但其計算方式與實際逾期時間和本金相關，並根據逾期時間長短調整利率（6個月內一成，超過6個月超過部分二成，最高九期），這更像是對逾期未還款所產生的實際損失（利息）的計算，而非額外的懲罰。  沒有提到固定金額的罰款，也沒有明顯超過損失比例的額外費用。  支付命令主要針對本金、利息及督促程序費用，違約金的計算方式與實際損失掛鉤，符合損害賠償的特性。
",2
333,臺灣臺中地方法院 114 年度 司促 字第 1121 號民事裁定,2025-01-10,支付命令,"根據提供的內容，案件屬於**損害賠償性編號2**。

原因如下：

雖然契約提及利息，但這些利息是基於貸款契約約定，並根據逾期時間計算，旨在償還債權人因債務人未依約還款而產生的實際損失（利息）。  金額並非預設的罰款，而是根據實際逾期本金及約定利率計算得來。 此外，還包含督促程序費用500元，這也是實際發生的費用。  文件並未提及任何額外的罰金或懲罰性條款，訴求的金額主要是本金、利息及訴訟費用，這些都是與實際損失直接相關的費用。  因此，更符合損害賠償性的定義。
","根據提供的內容，案件屬於**損害賠償性編號2**。

原因如下：

雖然契約提及利息，但這些利息是基於貸款契約約定，並根據逾期時間計算，旨在償還債權人因債務人未依約還款而產生的實際損失（利息）。  金額並非預設的罰款，而是根據實際逾期本金及約定利率計算得來。 此外，還包含督促程序費用500元，這也是實際發生的費用。  文件並未提及任何額外的罰金或懲罰性條款，訴求的金額主要是本金、利息及訴訟費用，這些都是與實際損失直接相關的費用。  因此，更符合損害賠償性的定義。
",2
334,臺灣臺中地方法院 114 年度 司促 字第 1119 號民事裁定,2025-01-10,支付命令,"根據提供的內容，案件屬於**損害賠償性編號2**。

理由：

雖然文件提及「利息」、「逾期費用」，但這些費用是基於信用卡契約約定，並非額外的懲罰性違約金。  這些費用與債務人實際未償還的款項以及逾期行為直接相關，目的在於補償債權人因債務人違約所造成的實際損失(包括資金占用成本和管理費用)。  金額也並未明顯超過合理範圍，可以視為對實際損失的合理賠償。  文件主要內容是債權人請求償還本金、利息及相關費用，並未提及任何額外的罰金或懲罰性條款。  符合損害賠償性的特徵。
","根據提供的內容，案件屬於**損害賠償性編號2**。

理由：

雖然文件提及「利息」、「逾期費用」，但這些費用是基於信用卡契約約定，並非額外的懲罰性違約金。  這些費用與債務人實際未償還的款項以及逾期行為直接相關，目的在於補償債權人因債務人違約所造成的實際損失(包括資金占用成本和管理費用)。  金額也並未明顯超過合理範圍，可以視為對實際損失的合理賠償。  文件主要內容是債權人請求償還本金、利息及相關費用，並未提及任何額外的罰金或懲罰性條款。  符合損害賠償性的特徵。
",2
335,臺灣臺中地方法院 114 年度 司促 字第 1075 號民事裁定,2025-01-10,支付命令,"根據提供的內容，最接近**懲罰性編號1**。

理由如下：

契約中約定逾期未繳款的違約金計算方式為：逾期在六個月以內部分，按年利率的百分之十計算；逾期超過六個月至九個月以內部分，按年利率的百分之二十計算。 這種計算方式與實際損失的關聯性較弱，更像是對違約行為的懲罰，而非單純補償債權人的損失。  雖然契約提到利息和本金，但額外加計的違約金比例明顯高於一般損害賠償的合理範圍，且其計算方式與實際損失並無直接且明確的連結，更符合懲罰性違約金的特性。  因此，儘管有本金和利息的部分，但違約金的設定方式更偏向懲罰性。
","根據提供的內容，最接近**懲罰性編號1**。

理由如下：

契約中約定逾期未繳款的違約金計算方式為：逾期在六個月以內部分，按年利率的百分之十計算；逾期超過六個月至九個月以內部分，按年利率的百分之二十計算。 這種計算方式與實際損失的關聯性較弱，更像是對違約行為的懲罰，而非單純補償債權人的損失。  雖然契約提到利息和本金，但額外加計的違約金比例明顯高於一般損害賠償的合理範圍，且其計算方式與實際損失並無直接且明確的連結，更符合懲罰性違約金的特性。  因此，儘管有本金和利息的部分，但違約金的設定方式更偏向懲罰性。
",1
336,臺灣臺中地方法院 114 年度 司促 字第 1073 號民事裁定,2025-01-10,支付命令,"根據提供的內容，債務人未依約還款，產生了利息和違約金。違約金的計算方式是根據逾期時間，按原利率的10%或20%計算，最高連續收取9期。這並非一個固定的金額，而是與實際逾期時間和欠款金額相關聯的計算結果。雖然沒有明確說明違約金的總額是否超過損失的30%，但計算方式與實際損失掛鉤，其目的在於補償債權人因債務人違約所造成的損失。因此，更接近**損害賠償性編號2**。

雖然契約中存在「違約金」的字眼，但其計算方式與實際損失相關聯，而非單純的懲罰性罰款。  因此選擇損害賠償性更為貼切。
","根據提供的內容，債務人未依約還款，產生了利息和違約金。違約金的計算方式是根據逾期時間，按原利率的10%或20%計算，最高連續收取9期。這並非一個固定的金額，而是與實際逾期時間和欠款金額相關聯的計算結果。雖然沒有明確說明違約金的總額是否超過損失的30%，但計算方式與實際損失掛鉤，其目的在於補償債權人因債務人違約所造成的損失。因此，更接近**損害賠償性編號2**。

雖然契約中存在「違約金」的字眼，但其計算方式與實際損失相關聯，而非單純的懲罰性罰款。  因此選擇損害賠償性更為貼切。
",2
337,臺灣臺中地方法院 114 年度 司促 字第 1072 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**懲罰性編號1**。

契約中約定逾期未還款部分，除了原利率外，還需支付額外違約金，逾期六個月內部分按年利率的10%計算，超過六個月部分按年利率的20%計算。這明顯超過了實際損失的範圍，且與實際損失並無直接掛鉤，屬於對違約行為的額外懲罰，符合懲罰性違約金的特性。  即使契約中提及利息和費用，但額外違約金的計算方式已遠超過損害賠償的合理範圍。  因此，儘管存在利息和費用等損害賠償的成分，但懲罰性違約金的性質更為明顯。
","根據提供的內容，屬於**懲罰性編號1**。

契約中約定逾期未還款部分，除了原利率外，還需支付額外違約金，逾期六個月內部分按年利率的10%計算，超過六個月部分按年利率的20%計算。這明顯超過了實際損失的範圍，且與實際損失並無直接掛鉤，屬於對違約行為的額外懲罰，符合懲罰性違約金的特性。  即使契約中提及利息和費用，但額外違約金的計算方式已遠超過損害賠償的合理範圍。  因此，儘管存在利息和費用等損害賠償的成分，但懲罰性違約金的性質更為明顯。
",1
338,臺灣臺中地方法院 114 年度 司促 字第 1071 號民事裁定,2025-01-10,支付命令,"根據提供的內容，這屬於**懲罰性編號1**。

雖然契約提及利息和違約金，但逾期利息的計算方式（逾期在六個月以內部分，按年利率百分之十；逾期超過六個月至九個月以內部分，按年利率百分之二十）明顯高於一般商業慣例中的損害賠償比例，且與實際損失的關聯性較弱。  這更像是對債務人未按時還款的懲罰，而非僅僅補償債權人因逾期而遭受的實際損失。  計算違約金的基礎是年利率16% 的本金，最高連續收取9期，也顯示其懲罰性目的，而非單純的損失補償。  因此更符合懲罰性違約金的定義。
","根據提供的內容，這屬於**懲罰性編號1**。

雖然契約提及利息和違約金，但逾期利息的計算方式（逾期在六個月以內部分，按年利率百分之十；逾期超過六個月至九個月以內部分，按年利率百分之二十）明顯高於一般商業慣例中的損害賠償比例，且與實際損失的關聯性較弱。  這更像是對債務人未按時還款的懲罰，而非僅僅補償債權人因逾期而遭受的實際損失。  計算違約金的基礎是年利率16% 的本金，最高連續收取9期，也顯示其懲罰性目的，而非單純的損失補償。  因此更符合懲罰性違約金的定義。
",1
339,臺灣臺中地方法院 114 年度 司促 字第 1068 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

理由如下：

契約中提及的利息（年息百分之十五）是基於信用卡約定條款中關於逾期未付款的規定，目的是補償債權人因債務人未按時還款而遭受的損失（延遲付款造成的資金成本），而非對債務人進行額外的懲罰。雖然利息百分比相對較高，但其依據是約定好的利率，並非額外附加的罰金。  此外，督促程序費用伍佰元也是合理的訴訟費用，用以補償債權人進行法律程序所產生的支出，而非懲罰性費用。  整體而言，金額的計算依據是債務本金和利息，以及訴訟費用，都與實際損失或費用相關，符合損害賠償的特性。
","根據提供的內容，屬於**損害賠償性編號2**。

理由如下：

契約中提及的利息（年息百分之十五）是基於信用卡約定條款中關於逾期未付款的規定，目的是補償債權人因債務人未按時還款而遭受的損失（延遲付款造成的資金成本），而非對債務人進行額外的懲罰。雖然利息百分比相對較高，但其依據是約定好的利率，並非額外附加的罰金。  此外，督促程序費用伍佰元也是合理的訴訟費用，用以補償債權人進行法律程序所產生的支出，而非懲罰性費用。  整體而言，金額的計算依據是債務本金和利息，以及訴訟費用，都與實際損失或費用相關，符合損害賠償的特性。
",2
340,臺灣臺中地方法院 114 年度 司促 字第 1067 號民事裁定,2025-01-10,支付命令,"根據提供的內容，這屬於**損害賠償性編號2**。

雖然契約提及年息百分之十五的利息，但這並非額外的懲罰性違約金，而是基於信用卡契約條款中約定好的逾期利息計算方式，用以補償債權人因債務人未按期還款而造成的實際損失（延遲付款的資金成本）。  督促程序費用500元也是實際發生的費用。  整體金額並未顯著超過債務本金的30%，因此更傾向於損害賠償性而非懲罰性。  契約旨在追討欠款及其利息，而非對違約行為施加額外的懲罰。
","根據提供的內容，這屬於**損害賠償性編號2**。

雖然契約提及年息百分之十五的利息，但這並非額外的懲罰性違約金，而是基於信用卡契約條款中約定好的逾期利息計算方式，用以補償債權人因債務人未按期還款而造成的實際損失（延遲付款的資金成本）。  督促程序費用500元也是實際發生的費用。  整體金額並未顯著超過債務本金的30%，因此更傾向於損害賠償性而非懲罰性。  契約旨在追討欠款及其利息，而非對違約行為施加額外的懲罰。
",2
341,臺灣臺南地方法院 113 年度 消債更 字第 623 號民事裁定,2025-01-13,更生事件,"這個裁定是關於更生程序的，並非處理契約違約賠償問題。裁定中沒有涉及任何關於違約金或損害賠償的條款。因此，**編號1 與編號2 都與這個裁定無關**。  這個裁定純粹是關於法院是否批准債務人進入更生程序的決定，不涉及任何契約條款的賠償問題。


如果一定要選一個，則更接近**編號2 (損害賠償性)**，因為更生程序的目標是透過重新安排債務來協助債務人，這在概念上與彌補損失（儘管不是直接對特定契約違約的賠償）較為接近。但這純屬比附，並非裁定本身的內容。
","這個裁定是關於更生程序的，並非處理契約違約賠償問題。裁定中沒有涉及任何關於違約金或損害賠償的條款。因此，**編號1 與編號2 都與這個裁定無關**。  這個裁定純粹是關於法院是否批准債務人進入更生程序的決定，不涉及任何契約條款的賠償問題。


如果一定要選一個，則更接近**編號2 (損害賠償性)**，因為更生程序的目標是透過重新安排債務來協助債務人，這在概念上與彌補損失（儘管不是直接對特定契約違約的賠償）較為接近。但這純屬比附，並非裁定本身的內容。
",0
342,臺灣臺南地方法院 113 年度 消債更 字第 634 號民事裁定,2025-01-13,更生事件,"這段文字是法院的民事裁定書，內容關於債務人聲請更生程序的審理結果。裁定書中**沒有涉及任何契約違約金的計算或賠償問題**。因此，**既非懲罰性違約金（編號1），也非損害賠償性違約金（編號2）**。  裁定書討論的是債務人的財務狀況，是否符合更生程序的條件，並無任何關於違約金的內容。

由於題目要求必須選擇編號1或編號2，而此裁定書與兩者都無關，因此選擇**與文本內容最不相關**的選項。由於編號2（損害賠償性）較偏向契約糾紛，而編號1（懲罰性）則更偏向契約以外的懲罰，因此選擇**編號2**，僅表示此裁定書與契約違約金無關，與損害賠償的概念更為疏離。  但必須強調，此選擇是基於題目限制，而非文本真正涵蓋的內容。
","這段文字是法院的民事裁定書，內容關於債務人聲請更生程序的審理結果。裁定書中**沒有涉及任何契約違約金的計算或賠償問題**。因此，**既非懲罰性違約金（編號1），也非損害賠償性違約金（編號2）**。  裁定書討論的是債務人的財務狀況，是否符合更生程序的條件，並無任何關於違約金的內容。

由於題目要求必須選擇編號1或編號2，而此裁定書與兩者都無關，因此選擇**與文本內容最不相關**的選項。由於編號2（損害賠償性）較偏向契約糾紛，而編號1（懲罰性）則更偏向契約以外的懲罰，因此選擇**編號2**，僅表示此裁定書與契約違約金無關，與損害賠償的概念更為疏離。  但必須強調，此選擇是基於題目限制，而非文本真正涵蓋的內容。
",0
343,臺灣橋頭地方法院 113 年度 建 字第 38 號民事裁定,2025-01-10,給付工程款,"這段裁定內容屬於**損害賠償性編號2**。

裁定內容指出反訴原告請求返還已給付的承攬報酬2,016,888元，以及修繕費用26,000元，總計2,042,888元。  這筆金額是基於反訴原告主張的實際損失（已付工程款及修繕費用）而請求，目的是要返還不當得利及補償損失，而非額外懲罰。  雖然裁定提及未繳裁判費，這與違約金的性質不同，僅是訴訟程序上的要求。  因此，更符合損害賠償性的描述。
","這段裁定內容屬於**損害賠償性編號2**。

裁定內容指出反訴原告請求返還已給付的承攬報酬2,016,888元，以及修繕費用26,000元，總計2,042,888元。  這筆金額是基於反訴原告主張的實際損失（已付工程款及修繕費用）而請求，目的是要返還不當得利及補償損失，而非額外懲罰。  雖然裁定提及未繳裁判費，這與違約金的性質不同，僅是訴訟程序上的要求。  因此，更符合損害賠償性的描述。
",2
344,臺灣屏東地方法院 113 年度 司促 字第 13967 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

理由如下：

* 6,933元是債務人未償還的信用卡款項，這是實際的債務損失。
* 15%的年利率是信用卡契約中約定的逾期利息，用於彌補債權人因債務人未按時還款而產生的資金成本損失，而非懲罰。  雖然利率高，但這是基於契約約定的，並非額外加罰。
* 500元督促程序費用是債權人為追討債款而實際發生的費用。

雖然15%的年利率看起來很高，但它並非額外罰金，而是基於契約約定，用來彌補因債務人違約所造成的資金損失。  這與懲罰性違約金的定義——額外罰金，與實際損失無關——不同。  因此，更符合損害賠償性的特徵。
","根據提供的內容，屬於**損害賠償性編號2**。

理由如下：

* 6,933元是債務人未償還的信用卡款項，這是實際的債務損失。
* 15%的年利率是信用卡契約中約定的逾期利息，用於彌補債權人因債務人未按時還款而產生的資金成本損失，而非懲罰。  雖然利率高，但這是基於契約約定的，並非額外加罰。
* 500元督促程序費用是債權人為追討債款而實際發生的費用。

雖然15%的年利率看起來很高，但它並非額外罰金，而是基於契約約定，用來彌補因債務人違約所造成的資金損失。  這與懲罰性違約金的定義——額外罰金，與實際損失無關——不同。  因此，更符合損害賠償性的特徵。
",2
345,臺灣屏東地方法院 113 年度 司促 字第 13895 號民事裁定,2025-01-10,支付命令,"根據提供的內容，這屬於**損害賠償性編號2**。

理由：

判決書中提及的17,337元包含本金15,681元，以及利息和督促程序費用500元。雖然提及逾期未還款會產生利息(最高年利率15%)，但這些利息是基於實際未還款金額計算的，目的是補償債權人的資金損失，而非額外懲罰。  沒有提到額外的罰金或懲罰性條款。  500元的督促程序費用也屬於實際發生的費用。  整體金額並未顯著超過實際損失的合理範圍，因此更符合損害賠償性的定義。
","根據提供的內容，這屬於**損害賠償性編號2**。

理由：

判決書中提及的17,337元包含本金15,681元，以及利息和督促程序費用500元。雖然提及逾期未還款會產生利息(最高年利率15%)，但這些利息是基於實際未還款金額計算的，目的是補償債權人的資金損失，而非額外懲罰。  沒有提到額外的罰金或懲罰性條款。  500元的督促程序費用也屬於實際發生的費用。  整體金額並未顯著超過實際損失的合理範圍，因此更符合損害賠償性的定義。
",2
346,臺灣屏東地方法院 113 年度 司促 字第 13685 號民事裁定,2025-01-10,支付命令,"根據提供的內容，此裁定屬於**損害賠償性編號2**。

裁定書內容顯示，債權人請求債務人償還借款本金、利息及督促程序費用。雖然利息部分在後期有高達15%的年利率，但這並非懲罰性違約金，而是基於借款契約約定的利息計算方式。  裁定書中並未提及任何額外的罰金或懲罰性條款，其請求金額是基於債務人未依約還款所產生的本金、利息及程序費用，旨在償還實際損失，符合損害賠償性的定義。  即便利息計算方式在後期有較高的利率，但這仍是基於契約約定，而非額外的懲罰措施。  因此，整體而言，更接近損害賠償性的分類。
","根據提供的內容，此裁定屬於**損害賠償性編號2**。

裁定書內容顯示，債權人請求債務人償還借款本金、利息及督促程序費用。雖然利息部分在後期有高達15%的年利率，但這並非懲罰性違約金，而是基於借款契約約定的利息計算方式。  裁定書中並未提及任何額外的罰金或懲罰性條款，其請求金額是基於債務人未依約還款所產生的本金、利息及程序費用，旨在償還實際損失，符合損害賠償性的定義。  即便利息計算方式在後期有較高的利率，但這仍是基於契約約定，而非額外的懲罰措施。  因此，整體而言，更接近損害賠償性的分類。
",2
347,臺灣屏東地方法院 113 年度 司促 字第 13681 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

理由：

雖然裁判中提及利息，甚至利息利率高達15%，但這些利息是基於借款契約約定的，是債務人因未依約還款而產生的實際債務，而非額外罰金。  支付命令的本質是請求給付債權人已經存在的債權，包含本金與約定利息，並無額外懲罰性質的違約金。  500元的督促程序費用也屬於實際發生的費用，符合損害賠償的定義。  並沒有任何條款顯示金額是為了懲罰債務人而設定的，而是基於債務關係而產生的應付金額。  因此，更接近損害賠償性的分類。
","根據提供的內容，屬於**損害賠償性編號2**。

理由：

雖然裁判中提及利息，甚至利息利率高達15%，但這些利息是基於借款契約約定的，是債務人因未依約還款而產生的實際債務，而非額外罰金。  支付命令的本質是請求給付債權人已經存在的債權，包含本金與約定利息，並無額外懲罰性質的違約金。  500元的督促程序費用也屬於實際發生的費用，符合損害賠償的定義。  並沒有任何條款顯示金額是為了懲罰債務人而設定的，而是基於債務關係而產生的應付金額。  因此，更接近損害賠償性的分類。
",2
348,臺灣屏東地方法院 113 年度 司促 字第 13679 號民事裁定,2025-01-10,支付命令,"根據提供的內容，最接近**懲罰性編號1**。

雖然契約提到利息和違約金，但「逾期在6個月以內者，按上開利率百分之10，逾期超過6個月者，按上開利率百分之20計算之違約金，每次違約狀態最高連續收取期數為9期」的設定，顯然與實際損失的關聯性較弱，更像是對違約行為的懲罰。  高額的違約金比例（最高可達本金的相當比例）以及連續收取的機制，也更符合懲罰性違約金的特徵，而非單純的損害賠償。  500元的督促程序費用屬於損害賠償的範疇，但並不足以抵消違約金的懲罰性特質。

雖然缺乏計算實際損失的細節，但從違約金的計算方式和高額比例來看，更傾向於懲罰性而非損害賠償性。
","根據提供的內容，最接近**懲罰性編號1**。

雖然契約提到利息和違約金，但「逾期在6個月以內者，按上開利率百分之10，逾期超過6個月者，按上開利率百分之20計算之違約金，每次違約狀態最高連續收取期數為9期」的設定，顯然與實際損失的關聯性較弱，更像是對違約行為的懲罰。  高額的違約金比例（最高可達本金的相當比例）以及連續收取的機制，也更符合懲罰性違約金的特徵，而非單純的損害賠償。  500元的督促程序費用屬於損害賠償的範疇，但並不足以抵消違約金的懲罰性特質。

雖然缺乏計算實際損失的細節，但從違約金的計算方式和高額比例來看，更傾向於懲罰性而非損害賠償性。
",1
349,臺灣屏東地方法院 113 年度 司促 字第 13645 號民事裁定,2025-01-10,支付命令,"根據提供的內容，此裁定屬於**懲罰性編號1**。

理由：契約中明確指出，逾期未繳款的違約金計算方式為：逾期6個月以內部分，按年利率8.33%的10%計算；逾期超過6個月至9個月以內部分，按年利率8.33%的20%計算。  這顯然是超過實際損失的額外罰款，與實際損失的連結性低，更像是對違約行為的懲罰，而非單純的損失補償。  此外，違約金計算方式也並非基於實際的損失金額，而是預先設定的百分比，符合懲罰性違約金的特性。  最後，裁定中也提及「得依法院核發之支付命令及確定證明書聲請強制執行」，此強制執行條款也指向懲罰性違約金的屬性。
","根據提供的內容，此裁定屬於**懲罰性編號1**。

理由：契約中明確指出，逾期未繳款的違約金計算方式為：逾期6個月以內部分，按年利率8.33%的10%計算；逾期超過6個月至9個月以內部分，按年利率8.33%的20%計算。  這顯然是超過實際損失的額外罰款，與實際損失的連結性低，更像是對違約行為的懲罰，而非單純的損失補償。  此外，違約金計算方式也並非基於實際的損失金額，而是預先設定的百分比，符合懲罰性違約金的特性。  最後，裁定中也提及「得依法院核發之支付命令及確定證明書聲請強制執行」，此強制執行條款也指向懲罰性違約金的屬性。
",1
350,臺灣屏東地方法院 113 年度 司促 字第 13639 號民事裁定,2025-01-10,支付命令,"根據提供的內容，判斷為**懲罰性編號1**。

契約中明確指出逾期未還款部分，會按年利率10%或20%計算違約金，且最高連續收取9期。  這明顯超出了單純的利息和損失補償範圍，屬於對違約行為的額外懲罰。  雖然契約也提及要償還本金和利息，但高額的違約金部分明顯具有懲罰性，符合懲罰性違約金的定義。  因此，儘管包含了損害賠償的成分，但整體而言更接近懲罰性違約金的特性。
","根據提供的內容，判斷為**懲罰性編號1**。

契約中明確指出逾期未還款部分，會按年利率10%或20%計算違約金，且最高連續收取9期。  這明顯超出了單純的利息和損失補償範圍，屬於對違約行為的額外懲罰。  雖然契約也提及要償還本金和利息，但高額的違約金部分明顯具有懲罰性，符合懲罰性違約金的定義。  因此，儘管包含了損害賠償的成分，但整體而言更接近懲罰性違約金的特性。
",1
351,臺灣屏東地方法院 113 年度 司促 字第 13637 號民事裁定,2025-01-10,支付命令,"根據提供的內容，判斷為**懲罰性編號1**。

理由如下：

契約內容明確指出，逾期未繳款的違約金計算方式為：逾期在6個月以內部分，按年利率14.83%的百分之十計算；逾期超過6個月至9個月以內部分，按年利率14.83%的百分之二十計算。  這明顯是**額外罰金**，與實際損失（88,818元本金及利息）不成比例，且計算方式與實際損失的關聯性較弱。  契約中雖然提及利息，但違約金的計算方式明顯具有懲罰性質，旨在懲罰債務人的違約行為，而非單純補償債權人的損失。  此外，「每次違約狀態最高連續收取期數為9期」也暗示了其懲罰性目的。


雖然契約也包含了督促程序費用500元，屬於損害賠償性質，但違約金的懲罰性部分遠遠超過此費用，因此整體分類應屬於懲罰性違約金。
","根據提供的內容，判斷為**懲罰性編號1**。

理由如下：

契約內容明確指出，逾期未繳款的違約金計算方式為：逾期在6個月以內部分，按年利率14.83%的百分之十計算；逾期超過6個月至9個月以內部分，按年利率14.83%的百分之二十計算。  這明顯是**額外罰金**，與實際損失（88,818元本金及利息）不成比例，且計算方式與實際損失的關聯性較弱。  契約中雖然提及利息，但違約金的計算方式明顯具有懲罰性質，旨在懲罰債務人的違約行為，而非單純補償債權人的損失。  此外，「每次違約狀態最高連續收取期數為9期」也暗示了其懲罰性目的。


雖然契約也包含了督促程序費用500元，屬於損害賠償性質，但違約金的懲罰性部分遠遠超過此費用，因此整體分類應屬於懲罰性違約金。
",1
352,臺灣臺中地方法院 114 年度 司促 字第 1127 號民事裁定,2025-01-10,支付命令,"根據提供的內容，債務人應支付的金額包含本金、利息和違約金。而違約金的計算方式是基於逾期時間和利率，並非一個固定的懲罰性金額。雖然提及「違約金」，但其計算方式與實際逾期本金及時間直接相關，符合損害賠償的計算邏輯。因此，更接近**損害賠償性編號2**。  雖然未明確說明違約金計算後的總額是否超過本金的30%，但從計算方式來看，其目的是補償因債務人違約而產生的實際損失，而非額外懲罰。
","根據提供的內容，債務人應支付的金額包含本金、利息和違約金。而違約金的計算方式是基於逾期時間和利率，並非一個固定的懲罰性金額。雖然提及「違約金」，但其計算方式與實際逾期本金及時間直接相關，符合損害賠償的計算邏輯。因此，更接近**損害賠償性編號2**。  雖然未明確說明違約金計算後的總額是否超過本金的30%，但從計算方式來看，其目的是補償因債務人違約而產生的實際損失，而非額外懲罰。
",2
353,臺灣臺中地方法院 114 年度 司促 字第 1121 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

契約內容主要在追討債務本金、利息以及督促程序費用。雖然提到利息計算方式包含逾期利息，但這些利息是基於借款契約約定，並非額外懲罰性違約金。  金額是基於本金、約定利率以及逾期利率計算所得，旨在償還債務以及相關費用，而非超過合理範圍的懲罰。  最後，提到可以聲請強制執行，但這只是債權人行使權利的手段，本身並非懲罰性措施。  因此，整體而言，更符合損害賠償性的定義。
","根據提供的內容，屬於**損害賠償性編號2**。

契約內容主要在追討債務本金、利息以及督促程序費用。雖然提到利息計算方式包含逾期利息，但這些利息是基於借款契約約定，並非額外懲罰性違約金。  金額是基於本金、約定利率以及逾期利率計算所得，旨在償還債務以及相關費用，而非超過合理範圍的懲罰。  最後，提到可以聲請強制執行，但這只是債權人行使權利的手段，本身並非懲罰性措施。  因此，整體而言，更符合損害賠償性的定義。
",2
354,臺灣臺中地方法院 114 年度 司促 字第 1119 號民事裁定,2025-01-10,支付命令,"根據提供的內容，屬於**損害賠償性編號2**。

理由：

契約內容主要涉及信用卡欠款，包含本金、利息、逾期費用等，這些都是基於實際發生的損失而計算的金額。雖然有提及逾期費用1200元，但這並非額外的懲罰性違約金，而是基於信用卡約定條款中關於逾期付款的規定而產生的費用，屬於實際損失的一部分。  總金額（包含本金、利息、逾期費用）並未顯著超過實際損失的合理比例，也沒有提到任何額外的罰款或懲罰性條款。  法院裁定是基於債權人提出的請求，而債權人的請求是基於信用卡契約和實際欠款金額，旨在追討債權，而非對債務人進行額外懲罰。


雖然條文中提到「已喪失期限利益，全部債務視為到期」，但这指的是債務人因未按期還款而喪失了分期付款的權利，導致全部債務到期，這並非懲罰，而是契約約定的自然結果。
","根據提供的內容，屬於**損害賠償性編號2**。

理由：

契約內容主要涉及信用卡欠款，包含本金、利息、逾期費用等，這些都是基於實際發生的損失而計算的金額。雖然有提及逾期費用1200元，但這並非額外的懲罰性違約金，而是基於信用卡約定條款中關於逾期付款的規定而產生的費用，屬於實際損失的一部分。  總金額（包含本金、利息、逾期費用）並未顯著超過實際損失的合理比例，也沒有提到任何額外的罰款或懲罰性條款。  法院裁定是基於債權人提出的請求，而債權人的請求是基於信用卡契約和實際欠款金額，旨在追討債權，而非對債務人進行額外懲罰。


雖然條文中提到「已喪失期限利益，全部債務視為到期」，但这指的是債務人因未按期還款而喪失了分期付款的權利，導致全部債務到期，這並非懲罰，而是契約約定的自然結果。
",2
